Date,Year,IBM,AAPL,MSFT,XRX,AMZN,DELL,GOOGL,ADBE,^GSPC,^IXIC
01/01/90,1990,10.970438,0.24251236,0.403759301,11.20208168,,,,1.379060984,329.0799866,415.7999878
01/02/90,1990,11.5544157,0.24251236,0.431040376,10.39472485,,,,1.779084444,331.8900146,425.7999878
05/02/90,1990,,,,,,,,,,
01/03/90,1990,11.95169353,0.288017243,0.483419746,11.39405823,,,,2.23488307,339.9400024,435.5
01/04/90,1990,12.27547646,0.281756431,0.506336272,10.13943005,,,,2.253144741,330.7999878,420.1000061
01/05/90,1990,13.51428413,0.295173317,0.637284756,9.704153061,,,,2.098516464,361.230011,459
04/05/90,1990,,,,,,,,,,
01/06/90,1990,13.38094807,0.321106702,0.663474739,9.749448776,,,,2.164785147,358.019989,462.2999878
01/07/90,1990,12.69765759,0.301373482,0.580540299,9.489465714,,,,2.069063902,356.1499939,438.2000122
01/08/90,1990,11.60156155,0.265495539,0.536890805,8.553519249,,,,1.475050807,322.5599976,381.2000122
06/08/90,1990,,,,,,,,,,
01/09/90,1990,12.25111961,0.20872052,0.549985468,7.255113125,,,,1.121038437,306.0499878,344.5
01/10/90,1990,12.15034294,0.221315786,0.556533456,6.248927116,,,,1.416249394,304,329.7999878
01/11/90,1990,13.0860939,0.264498889,0.630737364,7.361023426,,,,1.490012884,322.2200012,359.1000061
05/11/90,1990,,,,,,,,,,
01/12/90,1990,13.16106224,0.310516477,0.656927288,7.519896507,,,,1.718678474,330.2200012,373.7999878
01/01/91,1991,14.76250553,0.400782824,0.856624365,10.55441093,,,,2.242394209,343.9299927,414.2000122
01/02/91,1991,14.99545097,0.41342023,0.905730069,12.28641605,,,,2.840248346,367.0700073,453.1000061
04/02/91,1991,,,,,,,,,,
01/03/91,1991,13.39067268,0.492082238,0.926463246,12.51194,,,,3.186979532,375.2200012,482.2999878
01/04/91,1991,12.11187077,0.398007512,0.864262879,12.51194,,,,3.058987379,375.3399963,484.7200012
01/05/91,1991,12.47934151,0.340115815,0.958110392,12.73144817,,,,2.9850986,389.8299866,506.1099854
06/05/91,1991,,,,,,,,,,
01/06/91,1991,11.55595779,0.301083595,0.892089844,11.85341454,,,,2.556545258,371.1600037,475.9200134
01/07/91,1991,12.04675579,0.335544318,0.962474823,12.39787102,,,,3.167896748,387.8099976,502.0400085
01/08/91,1991,11.52622223,0.384515882,1.116339803,13.03722954,,,,3.012463331,395.4299927,525.6799927
06/08/91,1991,,,,,,,,,,
01/09/91,1991,12.4788332,0.359934062,1.165445447,13.74004745,,,,3.0346663,387.8599854,526.8800049
01/10/91,1991,11.83155346,0.374476761,1.229282856,14.41578484,,,,3.143136024,392.4500122,542.9799805
01/11/91,1991,11.13912487,0.369023561,1.273478746,13.96529007,,,,2.846613884,375.2200012,523.9000244
04/11/91,1991,,,,,,,,,,
01/12/91,1991,10.85111713,0.410910755,1.456806779,15.42939281,,,,3.884441137,417.0899963,586.3400269
01/01/92,1992,10.97303772,0.471955329,1.574661016,17.58486938,,,,3.639812469,408.7799988,620.210022
01/02/92,1992,10.59202671,0.491999954,1.617219329,18.0408802,,,,3.354784489,412.7000122,633.4699707
06/02/92,1992,,,,,,,,,,
01/03/92,1992,10.31735325,0.425371498,1.551745296,16.30234909,,,,3.043056011,403.6900024,603.7700195
01/04/92,1992,11.21316338,0.439063758,1.443712354,17.06258965,,,,2.631263494,414.9500122,578.6799927
01/05/92,1992,11.21316338,0.436325312,1.584482074,17.26399612,,,,2.705594063,415.3500061,585.3099976
07/05/92,1992,,,,,,,,,,
01/06/92,1992,12.25231647,0.350520581,1.37496388,16.0555172,,,,2.705594063,408.1400146,563.5999756
01/07/92,1992,11.86111546,0.342079848,1.428981185,17.38025665,,,,2.263554335,424.2099915,580.8300171
01/08/92,1992,10.84400749,0.336591303,1.463354707,17.52557182,,,,1.935933828,414.0299988,563.1199951
